scenario,strategy,iteration,successful,failed,timeouts,total_time_ms,127.0.0.1:9001_concurrency,127.0.0.1:9002_concurrency,127.0.0.1:9003_concurrency
A,fixed,1,3,0,0,87,,,
A,fixed,2,3,0,0,170,,,
A,fixed,3,3,0,0,139,,,
A,fixed,4,3,0,0,176,,,
A,fixed,5,3,0,0,158,,,
A,fixed,6,3,0,0,167,,,
A,fixed,7,3,0,0,151,,,
A,fixed,8,3,0,0,133,,,
A,fixed,9,3,0,0,207,,,
A,fixed,10,3,0,0,166,,,
A,timeout_race,1,3,0,0,139,,,
A,timeout_race,2,3,0,0,183,,,
A,timeout_race,3,3,0,0,169,,,
A,timeout_race,4,3,0,0,117,,,
A,timeout_race,5,3,0,0,201,,,
A,timeout_race,6,3,0,0,201,,,
A,timeout_race,7,3,0,0,170,,,
A,timeout_race,8,3,0,0,172,,,
A,timeout_race,9,3,0,0,134,,,
A,timeout_race,10,3,0,0,148,,,
A,adaptive,1,3,0,0,149,3.0,,
A,adaptive,2,3,0,0,157,3.0,,
A,adaptive,3,3,0,0,182,3.0,,
A,adaptive,4,3,0,0,203,3.0,,
A,adaptive,5,3,0,0,168,3.0,,
A,adaptive,6,3,0,0,127,3.0,,
A,adaptive,7,3,0,0,207,3.0,,
A,adaptive,8,3,0,0,75,3.0,,
A,adaptive,9,3,0,0,190,3.0,,
A,adaptive,10,3,0,0,200,3.0,,
B,fixed,1,2,1,1,2004,,,
B,fixed,2,2,1,1,1992,,,
B,fixed,3,2,1,1,2014,,,
B,fixed,4,2,1,1,2020,,,
B,fixed,5,2,1,1,1993,,,
B,fixed,6,2,1,1,2007,,,
B,fixed,7,2,1,1,1998,,,
B,fixed,8,2,1,1,2006,,,
B,fixed,9,2,1,1,2009,,,
B,fixed,10,2,1,1,2006,,,
B,timeout_race,1,2,1,1,2004,,,
B,timeout_race,2,2,1,1,2000,,,
B,timeout_race,3,2,1,1,1994,,,
B,timeout_race,4,2,1,1,1996,,,
B,timeout_race,5,2,1,1,2011,,,
B,timeout_race,6,2,1,1,2010,,,
B,timeout_race,7,2,1,1,1992,,,
B,timeout_race,8,2,1,1,2013,,,
B,timeout_race,9,2,1,1,2018,,,
B,timeout_race,10,2,1,1,2003,,,
B,adaptive,1,2,1,1,2165,3.0,2.0,
B,adaptive,2,2,1,1,2215,3.0,1.0,
B,adaptive,3,2,1,1,2176,3.0,1.0,
B,adaptive,4,2,1,1,2088,3.0,1.0,
B,adaptive,5,2,1,1,2196,3.0,1.0,
B,adaptive,6,2,1,1,2197,3.0,1.0,
B,adaptive,7,2,1,1,2203,3.0,1.0,
B,adaptive,8,2,1,1,2160,3.0,1.0,
B,adaptive,9,2,1,1,2186,3.0,1.0,
B,adaptive,10,2,1,1,2154,3.0,1.0,
C,fixed,1,1,2,2,2005,,,
C,fixed,2,2,1,0,790,,,
C,fixed,3,2,1,1,2021,,,
C,fixed,4,1,2,0,1797,,,
C,fixed,5,1,2,1,2009,,,
C,fixed,6,1,2,1,2000,,,
C,fixed,7,2,1,0,884,,,
C,fixed,8,3,0,0,1219,,,
C,fixed,9,2,1,1,1990,,,
C,fixed,10,2,1,0,1260,,,
C,timeout_race,1,1,2,1,2019,,,
C,timeout_race,2,2,1,1,1998,,,
C,timeout_race,3,3,0,0,1297,,,
C,timeout_race,4,1,2,1,2007,,,
C,timeout_race,5,2,1,0,1376,,,
C,timeout_race,6,2,1,1,1994,,,
C,timeout_race,7,1,2,1,1995,,,
C,timeout_race,8,1,2,0,1971,,,
C,timeout_race,9,3,0,0,1044,,,
C,timeout_race,10,2,1,0,1465,,,
C,adaptive,1,2,1,0,1120,3.0,1.0,2.0
C,adaptive,2,3,0,0,851,3.0,1.0,2.0
C,adaptive,3,1,2,0,1535,3.0,1.0,1.0
C,adaptive,4,3,0,0,3373,3.0,1.0,1.0
C,adaptive,5,3,0,0,1550,3.0,1.0,1.0
C,adaptive,6,1,2,1,2351,3.0,1.0,1.0
C,adaptive,7,1,2,2,4186,3.0,1.0,1.0
C,adaptive,8,3,0,0,1945,3.0,1.0,1.0
C,adaptive,9,2,1,1,3096,3.0,1.0,1.0
C,adaptive,10,2,1,0,2026,3.0,1.0,1.0
